time_point,subject,task,time_cat,trait,n,sum,phase
1,abeeku,attent,1,1,4,2,2
1,alex,attent,1,1,4,1,2
1,bimbo,attent,1,1,12,6,2
1,daza,attent,1,1,12,6,2
1,diara,attent,1,1,12,6,2
1,dokana,attent,1,1,12,7,2
1,fraukje,attent,1,1,12,10,2
1,frederike,attent,1,1,12,5,2
1,frodo,attent,1,1,12,8,2
1,hope,attent,1,1,12,5,2
1,jasongo,attent,1,1,12,3,2
1,kasai,attent,1,1,6,6,2
1,kianga,attent,1,1,12,8,2
1,kibara,attent,1,1,12,9,2
1,kio,attent,1,1,12,4,2
1,kisha,attent,1,1,2,0,2
1,kumili,attent,1,1,12,9,2
1,kuno,attent,1,1,12,6,2
1,lexi,attent,1,1,12,7,2
1,luiza,attent,1,1,12,8,2
1,maja,attent,1,1,5,3,2
1,ohini,attent,1,1,12,9,2
1,padana,attent,1,1,12,5,2
1,pini,attent,1,1,12,6,2
1,raja,attent,1,1,12,5,2
1,riet,attent,1,1,10,5,2
1,robert,attent,1,1,12,7,2
1,sandra,attent,1,1,12,6,2
1,sari,attent,1,1,2,1,2
1,shanga,attent,1,1,3,1,2
1,sumai,attent,1,1,12,9,2
1,swela,attent,1,1,1,0,2
1,tai,attent,1,1,12,6,2
1,tayo,attent,1,1,12,7,2
1,yaro,attent,1,1,12,5,2
1,yasa,attent,1,1,12,7,2
1,zira,attent,1,1,12,4,2
2,alex,attent,2,1,10,6,2
2,amira,attent,2,1,6,4,2
2,azibo,attent,2,1,8,3,2
2,bimbo,attent,2,1,12,7,2
2,corrie,attent,2,1,12,10,2
2,diara,attent,2,1,12,5,2
2,dokana,attent,2,1,12,6,2
2,fraukje,attent,2,1,12,5,2
2,frederike,attent,2,1,3,1,2
2,frodo,attent,2,1,12,5,2
2,hope,attent,2,1,12,5,2
2,jasongo,attent,2,1,12,2,2
2,kasai,attent,2,1,12,8,2
2,kianga,attent,2,1,12,7,2
2,kibara,attent,2,1,12,4,2
2,kio,attent,2,1,12,8,2
2,kisha,attent,2,1,12,9,2
2,kumili,attent,2,1,12,7,2
2,kuno,attent,2,1,12,6,2
2,lexi,attent,2,1,12,10,2
2,luiza,attent,2,1,12,8,2
2,maja,attent,2,1,12,10,2
2,makeni,attent,2,1,12,7,2
2,natascha,attent,2,1,12,7,2
2,ohini,attent,2,1,8,8,2
2,padana,attent,2,1,12,5,2
2,pini,attent,2,1,12,8,2
2,raja,attent,2,1,7,4,2
2,riet,attent,2,1,12,7,2
2,robert,attent,2,1,12,9,2
2,sandra,attent,2,1,12,2,2
2,shanga,attent,2,1,12,7,2
2,sumai,attent,2,1,12,12,2
2,tai,attent,2,1,12,7,2
2,tayo,attent,2,1,6,3,2
2,yaro,attent,2,1,12,10,2
2,yasa,attent,2,1,5,3,2
2,zira,attent,2,1,12,7,2
3,abeeku,attent,3,1,7,4,2
3,alex,attent,3,1,3,0,2
3,amira,attent,3,1,9,6,2
3,azibo,attent,3,1,12,3,2
3,bimbo,attent,3,1,12,7,2
3,daza,attent,3,1,12,7,2
3,diara,attent,3,1,12,8,2
3,dokana,attent,3,1,12,7,2
3,fraukje,attent,3,1,12,4,2
3,frederike,attent,3,1,1,0,2
3,frodo,attent,3,1,12,7,2
3,hope,attent,3,1,12,8,2
3,jasongo,attent,3,1,12,4,2
3,joey,attent,3,1,1,0,2
3,kasai,attent,3,1,12,8,2
3,kianga,attent,3,1,12,5,2
3,kibara,attent,3,1,12,10,2
3,kio,attent,3,1,12,8,2
3,kisha,attent,3,1,12,4,2
3,kumili,attent,3,1,12,8,2
3,lexi,attent,3,1,12,7,2
3,luiza,attent,3,1,12,8,2
3,maja,attent,3,1,12,12,2
3,makeni,attent,3,1,12,5,2
3,natascha,attent,3,1,12,9,2
3,ohini,attent,3,1,12,10,2
3,padana,attent,3,1,3,3,2
3,pini,attent,3,1,12,7,2
3,raja,attent,3,1,12,8,2
3,riet,attent,3,1,12,7,2
3,sandra,attent,3,1,12,2,2
3,sari,attent,3,1,12,7,2
3,shanga,attent,3,1,5,3,2
3,swela,attent,3,1,12,6,2
3,tai,attent,3,1,12,9,2
3,tayo,attent,3,1,12,7,2
3,yaro,attent,3,1,12,10,2
3,yasa,attent,3,1,12,5,2
3,youma,attent,3,1,1,1,2
3,zira,attent,3,1,12,7,2
4,abeeku,attent,4,1,12,5,2
4,alex,attent,4,1,3,2,2
4,azibo,attent,4,1,12,5,2
4,bambari,attent,4,1,12,9,2
4,corrie,attent,4,1,12,11,2
4,daza,attent,4,1,12,7,2
4,diara,attent,4,1,12,3,2
4,fraukje,attent,4,1,12,4,2
4,frederike,attent,4,1,12,9,2
4,frodo,attent,4,1,5,1,2
4,hope,attent,4,1,12,6,2
4,jeudi,attent,4,1,12,8,2
4,kianga,attent,4,1,12,2,2
4,kibara,attent,4,1,12,11,2
4,kio,attent,4,1,12,8,2
4,kisha,attent,4,1,12,6,2
4,kumili,attent,4,1,12,8,2
4,maja,attent,4,1,12,10,2
4,makeni,attent,4,1,12,6,2
4,natascha,attent,4,1,12,3,2
4,ohini,attent,4,1,12,8,2
4,riet,attent,4,1,12,6,2
4,sandra,attent,4,1,12,7,2
4,shanga,attent,4,1,3,2,2
4,swela,attent,4,1,12,8,2
4,tai,attent,4,1,12,7,2
4,youma,attent,4,1,7,3,2
5,abeeku,attent,5,1,4,2,2
5,alex,attent,5,1,2,1,2
5,amira,attent,5,1,12,6,2
5,azibo,attent,5,1,12,7,2
5,bimbo,attent,5,1,12,6,2
5,corrie,attent,5,1,12,9,2
5,daza,attent,5,1,6,4,2
5,diara,attent,5,1,6,3,2
5,dokana,attent,5,1,12,6,2
5,fraukje,attent,5,1,12,12,2
5,frederike,attent,5,1,12,8,2
5,frodo,attent,5,1,12,9,2
5,hope,attent,5,1,12,6,2
5,jeudi,attent,5,1,8,3,2
5,kasai,attent,5,1,12,8,2
5,kianga,attent,5,1,12,5,2
5,kibara,attent,5,1,12,10,2
5,kio,attent,5,1,12,9,2
5,kisha,attent,5,1,12,8,2
5,kumili,attent,5,1,12,9,2
5,kuno,attent,5,1,12,8,2
5,luiza,attent,5,1,12,8,2
5,makeni,attent,5,1,12,6,2
5,natascha,attent,5,1,12,7,2
5,ohini,attent,5,1,12,10,2
5,padana,attent,5,1,12,8,2
5,pini,attent,5,1,12,3,2
5,raja,attent,5,1,8,5,2
5,riet,attent,5,1,12,6,2
5,sandra,attent,5,1,12,8,2
5,swela,attent,5,1,12,8,2
5,tai,attent,5,1,12,8,2
5,tayo,attent,5,1,12,6,2
5,yaro,attent,5,1,12,11,2
5,yasa,attent,5,1,12,5,2
5,youma,attent,5,1,4,2,2
5,zira,attent,5,1,12,9,2
6,abeeku,attent,6,1,2,0,2
6,amira,attent,6,1,12,7,2
6,azibo,attent,6,1,6,4,2
6,bimbo,attent,6,1,12,8,2
6,daza,attent,6,1,8,3,2
6,diara,attent,6,1,2,1,2
6,dokana,attent,6,1,12,6,2
6,fraukje,attent,6,1,12,8,2
6,frederike,attent,6,1,12,5,2
6,frodo,attent,6,1,12,8,2
6,hope,attent,6,1,12,6,2
6,jeudi,attent,6,1,12,7,2
6,kianga,attent,6,1,12,5,2
6,kibara,attent,6,1,12,8,2
6,kio,attent,6,1,12,8,2
6,kisha,attent,6,1,2,0,2
6,kumili,attent,6,1,12,10,2
6,lexi,attent,6,1,12,7,2
6,luiza,attent,6,1,12,8,2
6,maja,attent,6,1,12,11,2
6,makeni,attent,6,1,9,4,2
6,ohini,attent,6,1,12,12,2
6,padana,attent,6,1,12,7,2
6,pini,attent,6,1,12,5,2
6,raja,attent,6,1,12,6,2
6,riet,attent,6,1,12,8,2
6,sandra,attent,6,1,12,6,2
6,swela,attent,6,1,12,6,2
6,tai,attent,6,1,12,9,2
6,tayo,attent,6,1,12,11,2
6,yaro,attent,6,1,12,9,2
6,youma,attent,6,1,12,6,2
6,zira,attent,6,1,12,5,2
7,alex,attent,7,1,1,0,2
7,amira,attent,7,1,8,5,2
7,azibo,attent,7,1,12,11,2
7,bimbo,attent,7,1,12,8,2
7,diara,attent,7,1,12,8,2
7,dokana,attent,7,1,12,7,2
7,fraukje,attent,7,1,12,6,2
7,frederike,attent,7,1,5,1,2
7,frodo,attent,7,1,12,7,2
7,hope,attent,7,1,12,6,2
7,jasongo,attent,7,1,12,5,2
7,kasai,attent,7,1,12,9,2
7,kianga,attent,7,1,12,6,2
7,kibara,attent,7,1,12,10,2
7,kio,attent,7,1,12,10,2
7,kumili,attent,7,1,12,10,2
7,kuno,attent,7,1,8,7,2
7,lexi,attent,7,1,12,9,2
7,luiza,attent,7,1,12,8,2
7,maja,attent,7,1,12,12,2
7,natascha,attent,7,1,12,10,2
7,ohini,attent,7,1,12,12,2
7,padana,attent,7,1,12,10,2
7,pini,attent,7,1,12,6,2
7,raja,attent,7,1,6,2,2
7,riet,attent,7,1,12,9,2
7,sandra,attent,7,1,12,7,2
7,sari,attent,7,1,12,10,2
7,shanga,attent,7,1,4,4,2
7,sumai,attent,7,1,12,7,2
7,swela,attent,7,1,12,7,2
7,tai,attent,7,1,12,7,2
7,tayo,attent,7,1,12,12,2
7,yaro,attent,7,1,12,10,2
7,yasa,attent,7,1,12,9,2
7,youma,attent,7,1,12,6,2
7,zira,attent,7,1,12,5,2
8,abeeku,attent,8,1,12,6,2
8,alex,attent,8,1,1,1,2
8,amira,attent,8,1,12,11,2
8,bimbo,attent,8,1,12,6,2
8,corrie,attent,8,1,12,9,2
8,daza,attent,8,1,12,4,2
8,diara,attent,8,1,12,5,2
8,dokana,attent,8,1,12,9,2
8,fraukje,attent,8,1,12,7,2
8,frederike,attent,8,1,12,6,2
8,frodo,attent,8,1,12,7,2
8,hope,attent,8,1,12,8,2
8,jasongo,attent,8,1,12,6,2
8,jeudi,attent,8,1,12,6,2
8,kasai,attent,8,1,12,11,2
8,kianga,attent,8,1,12,7,2
8,kibara,attent,8,1,12,9,2
8,kio,attent,8,1,12,11,2
8,kisha,attent,8,1,6,3,2
8,kumili,attent,8,1,12,12,2
8,kuno,attent,8,1,12,12,2
8,lexi,attent,8,1,12,8,2
8,maja,attent,8,1,12,12,2
8,makeni,attent,8,1,7,3,2
8,natascha,attent,8,1,6,3,2
8,ohini,attent,8,1,12,10,2
