time_point,subject,task,time_cat,trait,n,sum,phase
1,abeeku,comm,1,1,1,0,2
1,alex,comm,1,1,4,4,2
1,amira,comm,1,1,11,7,2
1,azibo,comm,1,1,12,9,2
1,bambari,comm,1,1,1,1,2
1,bimbo,comm,1,1,12,4,2
1,diara,comm,1,1,12,5,2
1,dokana,comm,1,1,12,10,2
1,fraukje,comm,1,1,12,10,2
1,frederike,comm,1,1,6,4,2
1,frodo,comm,1,1,12,11,2
1,hope,comm,1,1,12,9,2
1,jasongo,comm,1,1,12,9,2
1,kasai,comm,1,1,12,8,2
1,kianga,comm,1,1,12,6,2
1,kibara,comm,1,1,12,5,2
1,kio,comm,1,1,12,6,2
1,kisha,comm,1,1,6,2,2
1,kumili,comm,1,1,12,7,2
1,kuno,comm,1,1,12,6,2
1,lexi,comm,1,1,12,8,2
1,luiza,comm,1,1,12,8,2
1,maja,comm,1,1,12,3,2
1,natascha,comm,1,1,12,9,2
1,ohini,comm,1,1,12,7,2
1,padana,comm,1,1,12,7,2
1,pini,comm,1,1,12,7,2
1,raja,comm,1,1,12,11,2
1,riet,comm,1,1,1,1,2
1,robert,comm,1,1,12,8,2
1,sandra,comm,1,1,12,7,2
1,sari,comm,1,1,7,6,2
1,shanga,comm,1,1,12,4,2
1,sumai,comm,1,1,12,7,2
1,tai,comm,1,1,12,7,2
1,tayo,comm,1,1,12,6,2
1,yaro,comm,1,1,12,2,2
1,yasa,comm,1,1,12,1,2
1,zira,comm,1,1,12,11,2
2,abeeku,comm,2,1,6,1,2
2,alex,comm,2,1,12,12,2
2,amira,comm,2,1,6,6,2
2,bimbo,comm,2,1,12,7,2
2,diara,comm,2,1,12,5,2
2,dokana,comm,2,1,12,11,2
2,fraukje,comm,2,1,12,7,2
2,frederike,comm,2,1,12,12,2
2,frodo,comm,2,1,12,11,2
2,hope,comm,2,1,12,10,2
2,jasongo,comm,2,1,12,9,2
2,joey,comm,2,1,5,3,2
2,kasai,comm,2,1,12,9,2
2,kianga,comm,2,1,12,9,2
2,kibara,comm,2,1,12,4,2
2,kio,comm,2,1,12,7,2
2,kisha,comm,2,1,10,5,2
2,kumili,comm,2,1,12,8,2
2,kuno,comm,2,1,12,7,2
2,lexi,comm,2,1,3,1,2
2,luiza,comm,2,1,12,10,2
2,maja,comm,2,1,12,5,2
2,makeni,comm,2,1,6,3,2
2,natascha,comm,2,1,2,1,2
2,ohini,comm,2,1,12,11,2
2,padana,comm,2,1,11,4,2
2,pini,comm,2,1,12,8,2
2,raja,comm,2,1,4,3,2
2,riet,comm,2,1,9,7,2
2,robert,comm,2,1,12,6,2
2,sandra,comm,2,1,12,8,2
2,shanga,comm,2,1,12,11,2
2,sumai,comm,2,1,12,10,2
2,tai,comm,2,1,2,0,2
2,tayo,comm,2,1,6,3,2
2,yaro,comm,2,1,12,3,2
2,yasa,comm,2,1,12,7,2
2,youma,comm,2,1,8,3,2
2,zira,comm,2,1,12,12,2
3,abeeku,comm,3,1,4,2,2
3,alex,comm,3,1,12,8,2
3,azibo,comm,3,1,12,4,2
3,bambari,comm,3,1,12,11,2
3,bimbo,comm,3,1,12,8,2
3,corrie,comm,3,1,12,7,2
3,daza,comm,3,1,7,2,2
3,diara,comm,3,1,12,6,2
3,dokana,comm,3,1,12,8,2
3,fraukje,comm,3,1,12,11,2
3,frederike,comm,3,1,2,2,2
3,frodo,comm,3,1,12,11,2
3,hope,comm,3,1,12,9,2
3,jasongo,comm,3,1,12,10,2
3,jeudi,comm,3,1,3,3,2
3,joey,comm,3,1,12,10,2
3,kasai,comm,3,1,12,7,2
3,kianga,comm,3,1,12,6,2
3,kibara,comm,3,1,12,4,2
3,kio,comm,3,1,12,3,2
3,kisha,comm,3,1,12,5,2
3,kumili,comm,3,1,12,10,2
3,lexi,comm,3,1,6,3,2
3,luiza,comm,3,1,12,11,2
3,maja,comm,3,1,12,9,2
3,makeni,comm,3,1,8,4,2
3,natascha,comm,3,1,12,10,2
3,ohini,comm,3,1,12,11,2
3,padana,comm,3,1,8,6,2
3,pini,comm,3,1,12,8,2
3,raja,comm,3,1,8,5,2
3,riet,comm,3,1,12,8,2
3,sandra,comm,3,1,12,9,2
3,sari,comm,3,1,6,4,2
3,shanga,comm,3,1,12,10,2
3,sumai,comm,3,1,12,11,2
3,swela,comm,3,1,5,2,2
3,tayo,comm,3,1,12,8,2
3,yaro,comm,3,1,12,4,2
3,yasa,comm,3,1,12,3,2
3,youma,comm,3,1,12,5,2
3,zira,comm,3,1,12,10,2
4,abeeku,comm,4,1,8,4,2
4,alex,comm,4,1,12,12,2
4,azibo,comm,4,1,12,6,2
4,bambari,comm,4,1,12,11,2
4,corrie,comm,4,1,12,9,2
4,daza,comm,4,1,12,8,2
4,diara,comm,4,1,12,7,2
4,fraukje,comm,4,1,12,12,2
4,frederike,comm,4,1,12,12,2
4,frodo,comm,4,1,12,12,2
4,hope,comm,4,1,12,12,2
4,jeudi,comm,4,1,12,8,2
4,kianga,comm,4,1,12,9,2
4,kibara,comm,4,1,12,3,2
4,kio,comm,4,1,12,8,2
4,kisha,comm,4,1,4,2,2
4,kumili,comm,4,1,12,10,2
4,maja,comm,4,1,7,6,2
4,makeni,comm,4,1,12,5,2
4,natascha,comm,4,1,12,6,2
4,ohini,comm,4,1,12,12,2
4,sandra,comm,4,1,4,3,2
4,shanga,comm,4,1,12,10,2
4,swela,comm,4,1,6,4,2
4,tai,comm,4,1,2,0,2
4,youma,comm,4,1,12,4,2
4,zira,comm,4,1,12,10,2
5,abeeku,comm,5,1,1,0,2
5,amira,comm,5,1,12,8,2
5,azibo,comm,5,1,12,8,2
5,bimbo,comm,5,1,12,8,2
5,corrie,comm,5,1,12,5,2
5,daza,comm,5,1,11,6,2
5,diara,comm,5,1,12,6,2
5,dokana,comm,5,1,12,10,2
5,fraukje,comm,5,1,12,12,2
5,frederike,comm,5,1,12,11,2
5,frodo,comm,5,1,12,12,2
5,hope,comm,5,1,12,11,2
5,jeudi,comm,5,1,8,5,2
5,kasai,comm,5,1,12,8,2
5,kianga,comm,5,1,12,6,2
5,kibara,comm,5,1,12,2,2
5,kio,comm,5,1,12,9,2
5,kisha,comm,5,1,5,2,2
5,kumili,comm,5,1,12,12,2
5,kuno,comm,5,1,12,9,2
5,lexi,comm,5,1,6,5,2
5,luiza,comm,5,1,12,12,2
5,maja,comm,5,1,4,4,2
5,makeni,comm,5,1,12,7,2
5,natascha,comm,5,1,12,8,2
5,ohini,comm,5,1,12,8,2
5,padana,comm,5,1,8,3,2
5,pini,comm,5,1,8,7,2
5,raja,comm,5,1,8,4,2
5,riet,comm,5,1,1,1,2
5,sandra,comm,5,1,12,8,2
5,sari,comm,5,1,6,4,2
5,sumai,comm,5,1,5,5,2
5,swela,comm,5,1,12,3,2
5,tai,comm,5,1,12,4,2
5,tayo,comm,5,1,12,6,2
5,yaro,comm,5,1,12,5,2
5,yasa,comm,5,1,12,2,2
