time_point,subject,task,time_cat,trait,n,sum,phase
1,abeeku,delay,1,1,6,5,1
1,alex,delay,1,1,12,5,1
1,azibo,delay,1,1,12,0,1
1,bimbo,delay,1,1,12,10,1
1,daza,delay,1,1,12,0,1
1,diara,delay,1,1,12,0,1
1,dokana,delay,1,1,12,11,1
1,dorien,delay,1,1,12,2,1
1,frederike,delay,1,1,12,3,1
1,frodo,delay,1,1,12,11,1
1,hope,delay,1,1,12,2,1
1,jasongo,delay,1,1,12,4,1
1,jeudi,delay,1,1,12,0,1
1,joey,delay,1,1,12,7,1
1,kasai,delay,1,1,12,0,1
1,kianga,delay,1,1,12,0,1
1,kibara,delay,1,1,12,4,1
1,kio,delay,1,1,12,4,1
1,kisha,delay,1,1,12,0,1
1,kumili,delay,1,1,12,2,1
1,kuno,delay,1,1,12,10,1
1,lexi,delay,1,1,12,1,1
1,luiza,delay,1,1,12,2,1
1,maja,delay,1,1,12,0,1
1,makeni,delay,1,1,12,0,1
1,ohini,delay,1,1,12,0,1
1,padana,delay,1,1,12,2,1
1,pini,delay,1,1,12,1,1
1,raja,delay,1,1,7,7,1
1,riet,delay,1,1,12,0,1
1,robert,delay,1,1,12,7,1
1,sandra,delay,1,1,12,10,1
1,shanga,delay,1,1,12,3,1
1,swela,delay,1,1,12,0,1
1,tai,delay,1,1,12,12,1
1,yaro,delay,1,1,12,6,1
1,yasa,delay,1,1,12,4,1
1,youma,delay,1,1,12,3,1
1,zira,delay,1,1,12,8,1
2,abeeku,delay,2,1,12,11,1
2,alex,delay,2,1,12,7,1
2,azibo,delay,2,1,12,0,1
2,bimbo,delay,2,1,12,12,1
2,daza,delay,2,1,11,1,1
2,diara,delay,2,1,12,3,1
2,dokana,delay,2,1,12,12,1
2,dorien,delay,2,1,12,11,1
2,frederike,delay,2,1,12,2,1
2,frodo,delay,2,1,12,12,1
2,hope,delay,2,1,12,1,1
2,jeudi,delay,2,1,12,2,1
2,kasai,delay,2,1,12,2,1
2,kianga,delay,2,1,12,1,1
2,kibara,delay,2,1,12,4,1
2,kio,delay,2,1,12,5,1
2,kisha,delay,2,1,8,0,1
2,kumili,delay,2,1,12,4,1
2,kuno,delay,2,1,10,9,1
2,lexi,delay,2,1,12,6,1
2,luiza,delay,2,1,12,0,1
2,makeni,delay,2,1,12,5,1
2,ohini,delay,2,1,12,0,1
2,padana,delay,2,1,12,1,1
2,pini,delay,2,1,12,2,1
2,raja,delay,2,1,3,3,1
2,riet,delay,2,1,12,1,1
2,robert,delay,2,1,12,10,1
2,sandra,delay,2,1,9,9,1
2,shanga,delay,2,1,12,2,1
2,swela,delay,2,1,12,0,1
2,tai,delay,2,1,12,12,1
2,yaro,delay,2,1,12,8,1
2,yasa,delay,2,1,12,5,1
2,youma,delay,2,1,12,1,1
2,zira,delay,2,1,12,7,1
3,abeeku,delay,3,1,3,2,1
3,alex,delay,3,1,12,10,1
3,azibo,delay,3,1,12,0,1
3,bimbo,delay,3,1,12,12,1
3,corrie,delay,3,1,12,3,1
3,daza,delay,3,1,12,1,1
3,diara,delay,3,1,12,6,1
3,dokana,delay,3,1,12,12,1
3,dorien,delay,3,1,12,1,1
3,fraukje,delay,3,1,12,8,1
3,frederike,delay,3,1,12,0,1
3,frodo,delay,3,1,12,11,1
3,hope,delay,3,1,12,6,1
3,jeudi,delay,3,1,12,4,1
3,kasai,delay,3,1,12,7,1
3,kianga,delay,3,1,12,0,1
3,kibara,delay,3,1,12,4,1
3,kio,delay,3,1,12,4,1
3,kisha,delay,3,1,12,0,1
3,kumili,delay,3,1,12,2,1
3,kuno,delay,3,1,12,12,1
3,lexi,delay,3,1,12,3,1
3,maja,delay,3,1,12,1,1
3,makeni,delay,3,1,12,1,1
3,ohini,delay,3,1,12,0,1
3,padana,delay,3,1,12,1,1
3,pini,delay,3,1,12,7,1
3,riet,delay,3,1,12,2,1
3,robert,delay,3,1,12,9,1
3,sandra,delay,3,1,3,3,1
3,shanga,delay,3,1,12,1,1
3,swela,delay,3,1,12,0,1
3,tai,delay,3,1,12,11,1
3,yaro,delay,3,1,12,4,1
3,yasa,delay,3,1,12,10,1
3,youma,delay,3,1,12,8,1
3,zira,delay,3,1,12,7,1
4,abeeku,delay,4,1,2,2,1
4,alex,delay,4,1,12,7,1
4,azibo,delay,4,1,12,0,1
4,corrie,delay,4,1,12,3,1
4,daza,delay,4,1,12,1,1
4,diara,delay,4,1,12,9,1
4,dokana,delay,4,1,12,12,1
4,dorien,delay,4,1,12,6,1
4,frodo,delay,4,1,12,12,1
4,hope,delay,4,1,12,6,1
4,jasongo,delay,4,1,12,4,1
4,joey,delay,4,1,12,11,1
4,kasai,delay,4,1,12,4,1
4,kianga,delay,4,1,12,0,1
4,kibara,delay,4,1,12,2,1
4,kio,delay,4,1,12,4,1
4,kisha,delay,4,1,12,0,1
4,kumili,delay,4,1,12,2,1
4,kuno,delay,4,1,12,12,1
4,lexi,delay,4,1,12,2,1
4,luiza,delay,4,1,12,0,1
4,makeni,delay,4,1,12,2,1
4,natascha,delay,4,1,12,11,1
4,ohini,delay,4,1,12,1,1
4,padana,delay,4,1,12,1,1
4,pini,delay,4,1,12,10,1
4,raja,delay,4,1,4,2,1
4,riet,delay,4,1,12,4,1
4,robert,delay,4,1,12,12,1
4,sandra,delay,4,1,12,12,1
4,shanga,delay,4,1,12,10,1
4,swela,delay,4,1,12,1,1
4,tai,delay,4,1,12,12,1
4,yaro,delay,4,1,12,3,1
4,yasa,delay,4,1,12,1,1
