time_point,subject,task,time_cat,trait,n,sum,phase
1,abeeku,gaze,1,1,6,0,1
1,alex,gaze,1,1,5,0,1
1,azibo,gaze,1,1,8,0,1
1,bambari,gaze,1,1,4,0,1
1,bimbo,gaze,1,1,8,0,1
1,corrie,gaze,1,1,4,0,1
1,daza,gaze,1,1,8,0,1
1,diara,gaze,1,1,8,0,1
1,dokana,gaze,1,1,8,0,1
1,dorien,gaze,1,1,8,0,1
1,fraukje,gaze,1,1,6,0,1
1,frederike,gaze,1,1,8,0,1
1,frodo,gaze,1,1,8,0,1
1,hope,gaze,1,1,8,0,1
1,jasongo,gaze,1,1,7,3,1
1,jeudi,gaze,1,1,8,0,1
1,joey,gaze,1,1,8,1,1
1,kasai,gaze,1,1,8,2,1
1,kianga,gaze,1,1,8,0,1
1,kibara,gaze,1,1,8,1,1
1,kio,gaze,1,1,8,0,1
1,kisha,gaze,1,1,8,3,1
1,kumili,gaze,1,1,7,2,1
1,kuno,gaze,1,1,8,0,1
1,lexi,gaze,1,1,8,0,1
1,luiza,gaze,1,1,8,0,1
1,maja,gaze,1,1,8,5,1
1,makeni,gaze,1,1,8,0,1
1,natascha,gaze,1,1,6,0,1
1,ohini,gaze,1,1,8,0,1
1,padana,gaze,1,1,8,1,1
1,pini,gaze,1,1,8,0,1
1,raja,gaze,1,1,6,0,1
1,riet,gaze,1,1,8,7,1
1,robert,gaze,1,1,8,0,1
1,sandra,gaze,1,1,8,4,1
1,shanga,gaze,1,1,8,1,1
1,swela,gaze,1,1,8,0,1
1,tai,gaze,1,1,8,0,1
1,yaro,gaze,1,1,7,0,1
1,yasa,gaze,1,1,8,0,1
1,youma,gaze,1,1,8,0,1
1,zira,gaze,1,1,8,5,1
2,abeeku,gaze,2,1,5,0,1
2,alex,gaze,2,1,8,0,1
2,azibo,gaze,2,1,8,1,1
2,bambari,gaze,2,1,6,1,1
2,bimbo,gaze,2,1,8,0,1
2,corrie,gaze,2,1,6,0,1
2,daza,gaze,2,1,7,1,1
2,diara,gaze,2,1,8,0,1
2,dokana,gaze,2,1,8,0,1
2,dorien,gaze,2,1,8,0,1
2,fraukje,gaze,2,1,6,0,1
2,frederike,gaze,2,1,8,0,1
2,frodo,gaze,2,1,8,0,1
2,hope,gaze,2,1,8,2,1
2,jeudi,gaze,2,1,4,0,1
2,kasai,gaze,2,1,6,1,1
2,kianga,gaze,2,1,8,0,1
2,kibara,gaze,2,1,3,0,1
2,kio,gaze,2,1,7,0,1
2,kisha,gaze,2,1,6,0,1
2,kumili,gaze,2,1,8,0,1
2,kuno,gaze,2,1,8,0,1
2,lexi,gaze,2,1,8,3,1
2,luiza,gaze,2,1,8,0,1
2,maja,gaze,2,1,2,1,1
2,makeni,gaze,2,1,6,0,1
2,natascha,gaze,2,1,6,0,1
2,ohini,gaze,2,1,8,0,1
2,padana,gaze,2,1,8,0,1
2,pini,gaze,2,1,8,0,1
2,raja,gaze,2,1,4,1,1
2,riet,gaze,2,1,8,6,1
2,robert,gaze,2,1,8,0,1
2,sandra,gaze,2,1,6,3,1
2,shanga,gaze,2,1,8,2,1
2,swela,gaze,2,1,8,1,1
2,tai,gaze,2,1,8,4,1
2,yaro,gaze,2,1,8,1,1
2,yasa,gaze,2,1,8,1,1
2,youma,gaze,2,1,8,0,1
2,zira,gaze,2,1,8,3,1
3,abeeku,gaze,3,1,6,0,1
3,alex,gaze,3,1,4,0,1
3,azibo,gaze,3,1,8,1,1
3,bambari,gaze,3,1,6,0,1
3,bimbo,gaze,3,1,8,0,1
3,corrie,gaze,3,1,8,0,1
3,daza,gaze,3,1,8,0,1
3,diara,gaze,3,1,8,1,1
3,dokana,gaze,3,1,8,0,1
3,dorien,gaze,3,1,8,0,1
3,fraukje,gaze,3,1,8,0,1
3,frederike,gaze,3,1,8,0,1
3,frodo,gaze,3,1,8,0,1
3,hope,gaze,3,1,8,1,1
3,jeudi,gaze,3,1,8,0,1
3,kasai,gaze,3,1,4,0,1
3,kianga,gaze,3,1,8,1,1
3,kibara,gaze,3,1,7,1,1
3,kio,gaze,3,1,8,0,1
3,kisha,gaze,3,1,8,0,1
3,kumili,gaze,3,1,7,0,1
3,kuno,gaze,3,1,8,1,1
3,lexi,gaze,3,1,8,0,1
3,maja,gaze,3,1,8,7,1
3,makeni,gaze,3,1,8,0,1
3,natascha,gaze,3,1,6,0,1
3,ohini,gaze,3,1,8,0,1
3,padana,gaze,3,1,8,0,1
3,pini,gaze,3,1,8,0,1
3,raja,gaze,3,1,4,0,1
3,riet,gaze,3,1,8,7,1
3,robert,gaze,3,1,8,1,1
3,sandra,gaze,3,1,6,0,1
3,shanga,gaze,3,1,8,0,1
