time_point,subject,task,time_cat,trait,n,sum,phase
1,abeeku,search,1,1,9,0,2
1,azibo,search,1,1,10,7,2
1,bimbo,search,1,1,12,0,2
1,daza,search,1,1,12,4,2
1,diara,search,1,1,12,0,2
1,dokana,search,1,1,12,1,2
1,fraukje,search,1,1,12,4,2
1,frederike,search,1,1,12,0,2
1,frodo,search,1,1,12,2,2
1,hope,search,1,1,12,3,2
1,jasongo,search,1,1,12,3,2
1,kasai,search,1,1,12,4,2
1,kianga,search,1,1,12,11,2
1,kibara,search,1,1,12,0,2
1,kio,search,1,1,12,6,2
1,kisha,search,1,1,4,4,2
1,kumili,search,1,1,12,1,2
1,kuno,search,1,1,12,0,2
1,lexi,search,1,1,12,4,2
1,luiza,search,1,1,12,0,2
1,maja,search,1,1,1,0,2
1,ohini,search,1,1,12,5,2
1,padana,search,1,1,12,0,2
1,pini,search,1,1,12,1,2
1,raja,search,1,1,12,1,2
1,riet,search,1,1,12,6,2
1,sandra,search,1,1,12,0,2
1,shanga,search,1,1,12,5,2
1,sumai,search,1,1,6,5,2
1,swela,search,1,1,4,4,2
1,tai,search,1,1,12,0,2
1,tayo,search,1,1,12,12,2
1,yaro,search,1,1,12,4,2
1,yasa,search,1,1,12,0,2
1,zira,search,1,1,12,1,2
2,abeeku,search,2,1,11,0,2
2,alex,search,2,1,12,4,2
2,amira,search,2,1,4,4,2
2,azibo,search,2,1,12,0,2
2,bimbo,search,2,1,9,6,2
2,diara,search,2,1,12,0,2
2,dokana,search,2,1,12,1,2
2,fraukje,search,2,1,12,2,2
2,frederike,search,2,1,6,1,2
2,frodo,search,2,1,12,0,2
2,hope,search,2,1,12,0,2
2,jasongo,search,2,1,12,1,2
2,kasai,search,2,1,12,1,2
2,kianga,search,2,1,12,12,2
2,kibara,search,2,1,12,0,2
2,kio,search,2,1,12,1,2
2,kisha,search,2,1,10,5,2
2,kumili,search,2,1,12,0,2
2,kuno,search,2,1,12,2,2
2,lexi,search,2,1,12,6,2
2,luiza,search,2,1,3,2,2
2,maja,search,2,1,3,0,2
2,makeni,search,2,1,8,8,2
2,ohini,search,2,1,12,6,2
2,padana,search,2,1,12,1,2
2,pini,search,2,1,12,0,2
2,raja,search,2,1,12,0,2
2,riet,search,2,1,9,2,2
2,robert,search,2,1,12,2,2
2,sandra,search,2,1,12,0,2
2,shanga,search,2,1,12,0,2
2,sumai,search,2,1,12,12,2
2,tai,search,2,1,12,0,2
2,tayo,search,2,1,6,6,2
2,yaro,search,2,1,12,1,2
2,yasa,search,2,1,12,0,2
2,youma,search,2,1,6,6,2
2,zira,search,2,1,12,0,2
3,abeeku,search,3,1,12,0,2
3,alex,search,3,1,12,3,2
3,amira,search,3,1,4,4,2
3,azibo,search,3,1,12,0,2
3,bimbo,search,3,1,1,1,2
3,daza,search,3,1,12,0,2
3,diara,search,3,1,12,0,2
3,dokana,search,3,1,12,1,2
3,fraukje,search,3,1,12,1,2
3,frodo,search,3,1,12,1,2
3,hope,search,3,1,12,0,2
3,jasongo,search,3,1,12,4,2
3,joey,search,3,1,3,3,2
3,kasai,search,3,1,12,1,2
3,kianga,search,3,1,12,11,2
3,kibara,search,3,1,12,0,2
3,kio,search,3,1,12,0,2
3,kisha,search,3,1,12,7,2
3,kumili,search,3,1,12,0,2
3,lexi,search,3,1,9,3,2
3,luiza,search,3,1,12,4,2
3,maja,search,3,1,12,0,2
3,makeni,search,3,1,12,7,2
3,natascha,search,3,1,12,2,2
3,ohini,search,3,1,12,0,2
3,padana,search,3,1,12,0,2
3,pini,search,3,1,12,0,2
3,raja,search,3,1,12,0,2
3,riet,search,3,1,12,0,2
3,sandra,search,3,1,12,1,2
3,sari,search,3,1,6,4,2
3,shanga,search,3,1,12,2,2
3,swela,search,3,1,12,3,2
3,tai,search,3,1,12,0,2
3,tayo,search,3,1,12,11,2
3,yaro,search,3,1,12,0,2
3,yasa,search,3,1,12,0,2
3,youma,search,3,1,6,6,2
3,zira,search,3,1,12,0,2
4,abeeku,search,4,1,12,1,2
4,alex,search,4,1,12,2,2
4,azibo,search,4,1,12,1,2
4,bambari,search,4,1,12,1,2
4,corrie,search,4,1,12,6,2
4,daza,search,4,1,12,7,2
4,diara,search,4,1,12,0,2
4,fraukje,search,4,1,12,0,2
4,frederike,search,4,1,8,1,2
4,frodo,search,4,1,12,0,2
4,hope,search,4,1,12,0,2
4,jeudi,search,4,1,8,3,2
4,kianga,search,4,1,12,1,2
4,kibara,search,4,1,12,0,2
4,kio,search,4,1,12,0,2
4,kisha,search,4,1,12,7,2
4,kumili,search,4,1,12,0,2
4,makeni,search,4,1,12,12,2
4,natascha,search,4,1,1,0,2
4,ohini,search,4,1,12,0,2
4,riet,search,4,1,12,1,2
4,sandra,search,4,1,12,0,2
4,shanga,search,4,1,8,1,2
4,swela,search,4,1,12,1,2
4,tai,search,4,1,12,0,2
4,youma,search,4,1,12,12,2
5,abeeku,search,5,1,8,1,2
5,alex,search,5,1,12,0,2
5,amira,search,5,1,12,10,2
5,azibo,search,5,1,12,1,2
5,bimbo,search,5,1,12,0,2
5,daza,search,5,1,12,2,2
5,diara,search,5,1,12,0,2
5,dokana,search,5,1,12,0,2
5,fraukje,search,5,1,12,0,2
5,frederike,search,5,1,12,0,2
5,frodo,search,5,1,12,1,2
5,hope,search,5,1,12,0,2
5,jeudi,search,5,1,6,3,2
5,kasai,search,5,1,12,0,2
5,kianga,search,5,1,12,1,2
5,kibara,search,5,1,12,0,2
5,kio,search,5,1,12,1,2
5,kisha,search,5,1,12,4,2
5,kumili,search,5,1,12,0,2
5,kuno,search,5,1,12,1,2
5,luiza,search,5,1,12,0,2
5,maja,search,5,1,7,0,2
5,makeni,search,5,1,12,2,2
5,natascha,search,5,1,3,3,2
5,ohini,search,5,1,12,0,2
5,padana,search,5,1,6,0,2
5,pini,search,5,1,6,0,2
5,raja,search,5,1,7,0,2
5,sandra,search,5,1,12,0,2
5,sari,search,5,1,6,4,2
5,swela,search,5,1,12,1,2
5,tai,search,5,1,12,0,2
5,tayo,search,5,1,12,3,2
5,yaro,search,5,1,12,0,2
5,yasa,search,5,1,12,0,2
5,youma,search,5,1,12,12,2
5,zira,search,5,1,12,1,2
6,abeeku,search,6,1,12,0,2
6,amira,search,6,1,8,8,2
6,azibo,search,6,1,6,0,2
6,bimbo,search,6,1,1,1,2
6,daza,search,6,1,12,1,2
6,diara,search,6,1,12,0,2
6,dokana,search,6,1,12,0,2
6,fraukje,search,6,1,12,0,2
6,frederike,search,6,1,12,0,2
6,frodo,search,6,1,12,1,2
6,hope,search,6,1,12,0,2
6,kianga,search,6,1,12,1,2
6,kibara,search,6,1,12,0,2
6,kio,search,6,1,12,0,2
6,kisha,search,6,1,6,4,2
6,kumili,search,6,1,12,0,2
6,lexi,search,6,1,12,2,2
6,luiza,search,6,1,12,0,2
6,maja,search,6,1,12,0,2
6,makeni,search,6,1,12,0,2
6,ohini,search,6,1,12,0,2
6,padana,search,6,1,12,0,2
6,pini,search,6,1,12,0,2
6,raja,search,6,1,7,0,2
6,riet,search,6,1,12,0,2
6,sandra,search,6,1,12,0,2
6,sari,search,6,1,5,3,2
6,swela,search,6,1,12,1,2
6,tai,search,6,1,12,0,2
6,tayo,search,6,1,12,4,2
6,yaro,search,6,1,12,0,2
6,youma,search,6,1,12,8,2
6,zira,search,6,1,12,0,2
7,abeeku,search,7,1,5,1,2
7,amira,search,7,1,8,7,2
7,azibo,search,7,1,12,1,2
7,bimbo,search,7,1,2,0,2
7,daza,search,7,1,12,4,2
7,diara,search,7,1,12,0,2
7,dokana,search,7,1,12,4,2
7,fraukje,search,7,1,12,0,2
7,frederike,search,7,1,12,0,2
7,frodo,search,7,1,12,0,2
7,hope,search,7,1,12,0,2
7,jasongo,search,7,1,12,1,2
7,kasai,search,7,1,12,0,2
7,kianga,search,7,1,12,0,2
7,kibara,search,7,1,12,0,2
7,kio,search,7,1,12,0,2
7,kisha,search,7,1,11,5,2
7,kumili,search,7,1,12,0,2
