time_point,subject,task,time_cat,trait,n,sum,phase
1,alex,vfood,1,1,12,11,2
1,amira,vfood,1,1,3,3,2
1,azibo,vfood,1,1,12,5,2
1,bimbo,vfood,1,1,12,7,2
1,diara,vfood,1,1,12,10,2
1,dokana,vfood,1,1,12,6,2
1,fraukje,vfood,1,1,4,0,2
1,frederike,vfood,1,1,12,12,2
1,frodo,vfood,1,1,12,6,2
1,hope,vfood,1,1,12,10,2
1,jasongo,vfood,1,1,12,5,2
1,kasai,vfood,1,1,12,6,2
1,kianga,vfood,1,1,12,6,2
1,kibara,vfood,1,1,12,7,2
1,kio,vfood,1,1,12,8,2
1,kisha,vfood,1,1,5,2,2
1,kumili,vfood,1,1,12,11,2
1,kuno,vfood,1,1,12,11,2
1,lexi,vfood,1,1,12,0,2
1,luiza,vfood,1,1,12,11,2
1,maja,vfood,1,1,12,6,2
1,natascha,vfood,1,1,12,11,2
1,ohini,vfood,1,1,12,3,2
1,padana,vfood,1,1,12,11,2
1,pini,vfood,1,1,12,10,2
1,raja,vfood,1,1,12,10,2
1,riet,vfood,1,1,9,0,2
1,robert,vfood,1,1,12,8,2
1,sandra,vfood,1,1,12,12,2
1,sari,vfood,1,1,6,1,2
1,shanga,vfood,1,1,12,6,2
1,sumai,vfood,1,1,12,8,2
1,tai,vfood,1,1,12,8,2
1,tayo,vfood,1,1,12,8,2
1,yaro,vfood,1,1,12,2,2
1,yasa,vfood,1,1,12,0,2
1,zira,vfood,1,1,12,9,2
2,abeeku,vfood,2,1,7,5,2
2,alex,vfood,2,1,12,11,2
2,amira,vfood,2,1,3,3,2
2,bimbo,vfood,2,1,12,9,2
2,diara,vfood,2,1,12,12,2
2,dokana,vfood,2,1,12,9,2
2,fraukje,vfood,2,1,12,3,2
2,frederike,vfood,2,1,12,11,2
2,frodo,vfood,2,1,12,12,2
2,hope,vfood,2,1,12,10,2
2,jasongo,vfood,2,1,12,12,2
2,joey,vfood,2,1,8,3,2
2,kasai,vfood,2,1,12,11,2
2,kianga,vfood,2,1,12,7,2
2,kibara,vfood,2,1,12,11,2
2,kio,vfood,2,1,12,10,2
2,kisha,vfood,2,1,12,5,2
2,kumili,vfood,2,1,12,12,2
2,kuno,vfood,2,1,12,11,2
2,lexi,vfood,2,1,12,4,2
2,luiza,vfood,2,1,12,10,2
2,maja,vfood,2,1,12,9,2
2,makeni,vfood,2,1,12,6,2
2,natascha,vfood,2,1,12,11,2
2,ohini,vfood,2,1,12,8,2
2,padana,vfood,2,1,12,11,2
2,pini,vfood,2,1,12,9,2
2,raja,vfood,2,1,6,2,2
2,robert,vfood,2,1,12,12,2
2,sandra,vfood,2,1,12,11,2
2,shanga,vfood,2,1,12,9,2
2,sumai,vfood,2,1,4,3,2
2,tayo,vfood,2,1,5,2,2
2,yaro,vfood,2,1,12,6,2
2,yasa,vfood,2,1,12,5,2
2,youma,vfood,2,1,12,5,2
2,zira,vfood,2,1,12,9,2
3,abeeku,vfood,3,1,12,12,2
3,alex,vfood,3,1,12,10,2
3,azibo,vfood,3,1,12,12,2
3,bambari,vfood,3,1,12,4,2
3,bimbo,vfood,3,1,12,8,2
3,corrie,vfood,3,1,12,5,2
3,daza,vfood,3,1,12,10,2
3,diara,vfood,3,1,12,12,2
3,dokana,vfood,3,1,12,9,2
3,fraukje,vfood,3,1,12,5,2
3,frodo,vfood,3,1,12,12,2
3,hope,vfood,3,1,12,8,2
3,jasongo,vfood,3,1,12,12,2
3,joey,vfood,3,1,12,3,2
3,kasai,vfood,3,1,12,11,2
3,kianga,vfood,3,1,12,7,2
3,kibara,vfood,3,1,12,12,2
3,kio,vfood,3,1,12,10,2
3,kisha,vfood,3,1,12,6,2
3,kumili,vfood,3,1,12,11,2
3,lexi,vfood,3,1,12,9,2
3,luiza,vfood,3,1,12,12,2
3,maja,vfood,3,1,12,11,2
3,makeni,vfood,3,1,12,9,2
3,natascha,vfood,3,1,12,9,2
3,ohini,vfood,3,1,12,11,2
3,padana,vfood,3,1,2,2,2
3,pini,vfood,3,1,6,6,2
3,raja,vfood,3,1,12,10,2
3,riet,vfood,3,1,12,9,2
3,sandra,vfood,3,1,12,12,2
3,sari,vfood,3,1,12,12,2
3,shanga,vfood,3,1,12,10,2
3,sumai,vfood,3,1,12,7,2
3,tayo,vfood,3,1,12,6,2
3,yaro,vfood,3,1,12,12,2
3,yasa,vfood,3,1,12,8,2
3,youma,vfood,3,1,7,3,2
3,zira,vfood,3,1,12,11,2
4,abeeku,vfood,4,1,12,12,2
4,alex,vfood,4,1,12,10,2
4,azibo,vfood,4,1,12,12,2
4,bambari,vfood,4,1,3,2,2
4,corrie,vfood,4,1,12,9,2
4,daza,vfood,4,1,12,11,2
4,diara,vfood,4,1,12,12,2
4,fraukje,vfood,4,1,12,11,2
4,frederike,vfood,4,1,12,12,2
4,frodo,vfood,4,1,12,12,2
4,hope,vfood,4,1,12,9,2
4,jeudi,vfood,4,1,12,8,2
4,kianga,vfood,4,1,12,12,2
4,kibara,vfood,4,1,12,12,2
4,kio,vfood,4,1,12,11,2
4,kisha,vfood,4,1,2,0,2
4,kumili,vfood,4,1,12,12,2
4,maja,vfood,4,1,12,12,2
4,makeni,vfood,4,1,12,9,2
4,natascha,vfood,4,1,5,0,2
4,ohini,vfood,4,1,12,12,2
4,shanga,vfood,4,1,12,11,2
4,swela,vfood,4,1,12,6,2
4,tai,vfood,4,1,12,12,2
4,youma,vfood,4,1,12,6,2
4,zira,vfood,4,1,12,10,2
5,abeeku,vfood,5,1,12,10,2
5,alex,vfood,5,1,10,10,2
5,amira,vfood,5,1,12,8,2
5,azibo,vfood,5,1,12,12,2
5,bimbo,vfood,5,1,12,7,2
5,corrie,vfood,5,1,12,8,2
5,diara,vfood,5,1,12,12,2
5,dokana,vfood,5,1,12,11,2
5,fraukje,vfood,5,1,12,10,2
5,frederike,vfood,5,1,12,12,2
5,frodo,vfood,5,1,12,12,2
5,hope,vfood,5,1,12,11,2
5,kasai,vfood,5,1,12,12,2
5,kianga,vfood,5,1,12,12,2
5,kibara,vfood,5,1,12,12,2
5,kio,vfood,5,1,12,12,2
5,kisha,vfood,5,1,2,1,2
5,kumili,vfood,5,1,12,12,2
5,kuno,vfood,5,1,12,11,2
5,lexi,vfood,5,1,12,12,2
5,luiza,vfood,5,1,12,12,2
5,makeni,vfood,5,1,12,12,2
5,natascha,vfood,5,1,12,10,2
5,ohini,vfood,5,1,12,11,2
5,padana,vfood,5,1,6,6,2
5,pini,vfood,5,1,6,6,2
5,raja,vfood,5,1,12,12,2
5,sandra,vfood,5,1,12,9,2
5,sari,vfood,5,1,1,1,2
5,sumai,vfood,5,1,1,0,2
5,swela,vfood,5,1,12,9,2
5,tai,vfood,5,1,12,11,2
5,tayo,vfood,5,1,12,9,2
