time_point subject task trial code
1 dorien gaze 1 0
1 dorien gaze 2 0
1 dorien inference 1 0
1 dorien cause 1 1
1 dorien inference 2 1
1 dorien cause 2 1
1 dorien inference 3 1
1 dorien cause 3 1
1 dorien cause 4 1
1 dorien inference 4 0
1 dorien inference 5 0
1 dorien cause 5 1
1 dorien cause 6 1
1 dorien inference 6 0
1 dorien cause 7 1
1 dorien cause 8 1
1 dorien inference 7 0
1 dorien inference 8 0
1 dorien cause 9 0
1 dorien inference 9 0
1 dorien cause 10 1
1 dorien cause 11 1
1 dorien inference 10 1
1 dorien inference 11 1
1 dorien cause 12 1
1 dorien inference 12 1
1 dorien gaze 3 0
1 dorien gaze 4 0
1 dorien gaze 5 0
1 dorien gaze 6 0
1 dorien quant 1 1
1 dorien quant 2 1
1 dorien quant 3 1
1 dorien quant 4 1
1 dorien quant 5 0
1 dorien quant 6 1
1 dorien quant 7 1
1 dorien quant 8 1
1 dorien quant 9 1
1 dorien quant 10 1
1 dorien quant 11 1
1 dorien quant 12 1
1 dorien delay 1 1
1 dorien delay 2 1
1 dorien delay 3 0
1 dorien delay 4 1
1 dorien delay 5 1
1 dorien delay 6 0
1 dorien delay 7 0
1 dorien delay 8 0
1 dorien delay 9 0
1 dorien delay 10 0
1 dorien delay 11 1
1 dorien delay 12 0
1 dorien gaze 7 0
1 dorien gaze 8 0
1 robert gaze 1 0
1 robert gaze 2 0
1 robert inference 1 1
1 robert cause 1 0
1 robert inference 2 0
1 robert cause 2 0
1 robert inference 3 1
1 robert cause 3 1
1 robert cause 4 1
1 robert inference 4 1
1 robert inference 5 1
1 robert cause 5 0
1 robert cause 6 1
1 robert inference 6 1
1 robert cause 7 0
1 robert cause 8 0
1 robert inference 7 1
1 robert inference 8 1
1 robert cause 9 0
1 robert inference 9 0
1 robert cause 10 1
1 robert cause 11 1
1 robert inference 10 1
1 robert inference 11 0
1 robert cause 12 1
1 robert inference 12 1
1 robert gaze 3 0
1 robert gaze 4 0
1 robert gaze 5 0
1 robert gaze 6 0
1 robert quant 1 1
1 robert quant 2 1
1 robert quant 3 1
1 robert quant 4 1
1 robert quant 5 1
1 robert quant 6 1
1 robert quant 7 1
1 robert quant 8 1
1 robert quant 9 1
1 robert quant 10 1
1 robert quant 11 1
1 robert quant 12 1
1 robert delay 1 1
1 robert delay 2 0
1 robert delay 3 1
1 robert delay 4 1
1 robert delay 5 1
1 robert delay 6 1
1 robert delay 7 1
1 robert delay 8 1
1 robert delay 9 0
1 robert delay 10 1
1 robert delay 11 1
1 robert delay 12 1
1 robert gaze 7 0
1 robert gaze 8 0
1 sandra gaze 1 1
1 sandra gaze 2 1
1 sandra inference 1 1
1 sandra cause 1 1
1 sandra inference 2 1
1 sandra cause 2 1
1 sandra inference 3 1
1 sandra cause 3 1
1 sandra cause 4 1
1 sandra inference 4 1
1 sandra inference 5 1
1 sandra cause 5 1
1 sandra cause 6 1
1 sandra inference 6 1
1 sandra cause 7 1
1 sandra cause 8 1
1 sandra inference 7 1
1 sandra inference 8 1
1 sandra cause 9 1
1 sandra inference 9 1
1 sandra cause 10 1
1 sandra cause 11 1
1 sandra inference 10 1
1 sandra inference 11 1
1 sandra cause 12 1
1 sandra inference 12 1
1 sandra gaze 3 0
1 sandra gaze 4 0
1 sandra gaze 5 0
1 sandra gaze 6 0
1 sandra quant 1 1
1 sandra quant 2 1
1 sandra quant 3 1
1 sandra quant 4 1
1 sandra quant 5 1
1 sandra quant 6 1
1 sandra quant 7 1
1 sandra quant 8 1
1 sandra quant 9 1
1 sandra quant 10 1
1 sandra quant 11 0
1 sandra quant 12 1
1 sandra delay 1 1
1 sandra delay 2 1
1 sandra delay 3 0
1 sandra delay 4 0
1 sandra delay 5 0
1 sandra delay 6 0
1 sandra delay 7 0
1 sandra delay 8 0
1 sandra delay 9 0
1 sandra delay 10 1
1 sandra delay 11 1
1 sandra delay 12 1
1 sandra gaze 7 0
1 sandra gaze 8 0
1 tai gaze 1 0
1 tai gaze 2 0
1 tai inference 1 0
1 tai cause 1 0
1 tai inference 2 0
1 tai cause 2 0
1 tai inference 3 0
1 tai cause 3 0
1 tai cause 4 0
1 tai inference 4 1
1 tai inference 5 1
1 tai cause 5 1
1 tai cause 6 1
1 tai inference 6 1
1 tai cause 7 0
1 tai cause 8 0
1 tai inference 7 0
1 tai inference 8 1
1 tai cause 9 0
1 tai inference 9 1
1 tai cause 10 0
1 tai cause 11 0
1 tai inference 10 0
1 tai inference 11 0
1 tai cause 12 0
1 tai inference 12 1
1 tai gaze 3 0
1 tai gaze 4 0
1 tai gaze 5 0
1 tai gaze 6 1
1 tai quant 1 1
1 tai quant 2 1
1 tai quant 3 0
1 tai quant 4 1
1 tai quant 5 1
1 tai quant 6 1
1 tai quant 7 1
1 tai quant 8 1
1 tai quant 9 1
1 tai quant 10 1
1 tai quant 11 1
1 tai quant 12 1
1 tai delay 1 0
1 tai delay 2 1
1 tai delay 3 1
1 tai delay 4 0
1 tai delay 5 1
1 tai delay 6 0
1 tai delay 7 1
1 tai delay 8 1
1 tai delay 9 0
1 tai delay 10 1
1 tai delay 11 1
1 tai delay 12 1
1 tai gaze 7 0
1 tai gaze 8 1
1 riet gaze 1 1
1 riet gaze 2 1
1 riet inference 1 1
1 riet cause 1 1
1 riet inference 2 1
1 riet cause 2 1
1 riet inference 3 1
1 riet cause 3 0
1 riet cause 4 1
1 riet inference 4 0
1 riet inference 5 0
1 riet cause 5 1
1 riet cause 6 0
1 riet inference 6 1
1 riet cause 7 1
1 riet cause 8 1
1 riet inference 7 0
1 riet inference 8 1
1 riet cause 9 1
1 riet inference 9 1
1 riet cause 10 1
1 riet cause 11 1
1 riet inference 10 1
1 riet inference 11 1
1 riet cause 12 1
1 riet inference 12 1
1 riet gaze 3 1
1 riet gaze 4 0
1 riet gaze 5 1
1 riet gaze 6 1
1 riet quant 1 1
1 riet quant 2 0
1 riet quant 3 1
1 riet quant 4 1
1 riet quant 5 1
1 riet quant 6 1
1 riet quant 7 1
1 riet quant 8 0
1 riet quant 9 1
1 riet quant 10 1
1 riet quant 11 1
1 riet quant 12 1
1 riet delay 1 1
1 riet delay 2 1
1 riet delay 3 0
1 riet delay 4 0
1 riet delay 5 1
1 riet delay 6 0
1 riet delay 7 0
1 riet delay 8 1
1 riet delay 9 1
1 riet delay 10 1
1 riet delay 11 1
1 riet delay 12 1
1 riet gaze 7 1
1 riet gaze 8 1
1 frodo gaze 1 0
1 frodo gaze 2 0
1 frodo inference 1 0
1 frodo cause 1 1
1 frodo inference 2 0
1 frodo cause 2 1
1 frodo inference 3 1
1 frodo cause 3 1
1 frodo cause 4 1
1 frodo inference 4 1
1 frodo inference 5 1
1 frodo cause 5 1
1 frodo cause 6 1
1 frodo inference 6 1
1 frodo cause 7 1
1 frodo cause 8 1
1 frodo inference 7 0
1 frodo inference 8 0
