species,subject,time_point,mean,uci,lci
a_chimp,azibo,1,-0.03998121922836795,0.534309,-1.30518
a_chimp,azibo,2,-0.4430976074972346,0.455973,-1.47687
a_chimp,azibo,3,0.9899078022913026,1.77743,0.107556
a_chimp,azibo,4,-0.4610742735475202,0.481915,-1.33739
a_chimp,azibo,5,0.3797625354127656,1.32403,-0.28201
a_chimp,azibo,6,0.727185182293252,1.57606,-0.15152
a_chimp,azibo,7,0.3345264951689666,1.09255,-0.46653
a_chimp,azibo,8,0.3989284529861725,1.31761,-0.542956
a_chimp,azibo,9,0.3602383866728629,1.1181,-0.366819
a_chimp,azibo,10,-0.2929171685280276,0.42837,-1.34122
a_chimp,badu,1,-0.005233833715721392,0.846464,-0.932093
a_chimp,badu,2,0.5609576164107402,1.41718,-0.389831
a_chimp,badu,3,0.8274837867545757,1.61142,-0.0556805
a_chimp,badu,4,0.9103799077728774,1.73468,0.00350216
a_chimp,badu,5,0.765438409035685,1.59147,-0.00343351
a_chimp,badu,6,1.5528926147190711,2.44997,0.746525
a_chimp,badu,7,0.759889164613403,1.52499,0.00955786
a_chimp,badu,8,1.2422544672670393,2.1295,0.374234
a_chimp,badu,9,0.6655024564917742,1.33253,-0.113319
a_chimp,badu,10,-0.21691917002466443,0.543972,-1.17306
a_chimp,bambari,1,-0.3766703953465944,0.229366,-1.7555
a_chimp,bambari,2,-0.5612851734455098,0.442165,-1.57821
a_chimp,bambari,3,-0.04152300200501324,0.773897,-1.03238
a_chimp,bambari,4,-0.1282185361332271,0.717572,-1.08821
a_chimp,bambari,5,0.32182777159140885,1.22828,-0.392236
a_chimp,bambari,6,0.42115523457365533,1.35381,-0.412386
a_chimp,bambari,7,0.5375141038281619,1.27669,-0.289807
a_chimp,bambari,8,0.308927774401329,1.21063,-0.678612
a_chimp,bambari,9,0.32468918977601713,1.14715,-0.382039
a_chimp,bambari,10,-0.10154007736173964,0.704373,-0.986738
a_chimp,carola,1,-0.018797824116620898,0.678466,-1.11768
a_chimp,carola,2,0.48681606414937995,1.42957,-0.374016
a_chimp,carola,3,0.46037311342224063,1.26705,-0.404351
a_chimp,carola,4,0.8111354358929472,1.74581,0.0308109
a_chimp,carola,5,1.0002190321442341,1.8009,0.142001
a_chimp,carola,6,1.0654984220686818,1.9513,0.249357
a_chimp,carola,7,0.7170480314009645,1.49987,2.36213e-4
a_chimp,carola,8,0.5335629570012939,1.411,-0.412718
a_chimp,carola,9,0.2614368635032944,0.992992,-0.48358
a_chimp,carola,10,-0.41603878523795723,0.307405,-1.43053
a_chimp,changa,1,-0.48621977514597026,0.30189,-1.69542
a_chimp,changa,2,-0.6865698110916445,0.351742,-1.73762
a_chimp,changa,3,1.0435941232374246,1.90692,0.207977
a_chimp,changa,4,-0.7667475502992569,0.149318,-1.81146
a_chimp,changa,5,-0.18936666114417466,0.625221,-1.06517
a_chimp,changa,6,0.23918771155852925,1.07753,-0.725188
a_chimp,changa,7,0.4049415349170593,1.18325,-0.407571
a_chimp,changa,8,0.9457190191461524,1.83765,0.0159471
a_chimp,changa,9,0.7042171255307775,1.53226,0.0354119
a_chimp,changa,10,0.28719468462657316,1.22837,-0.478045
a_chimp,corrie,1,-0.005334413259623361,0.986951,-0.770073
a_chimp,corrie,2,0.3723821664330096,1.31673,-0.475212
a_chimp,corrie,3,0.9578455588716484,1.72119,0.0955387
a_chimp,corrie,4,0.6355545529053421,1.49388,-0.236059
a_chimp,corrie,5,0.5304812911630832,1.32721,-0.228021
a_chimp,corrie,6,1.491740434330028,2.34799,0.679128
a_chimp,corrie,7,0.5746805331270437,1.31334,-0.176877
a_chimp,corrie,8,0.7502685940491363,1.72804,-0.0525661
a_chimp,corrie,9,0.44299371692866085,1.16286,-0.25626
a_chimp,corrie,10,0.017677394895107668,0.848424,-0.770579
a_chimp,frank,1,-0.01930952391074081,0.635818,-1.06521
a_chimp,frank,2,0.10701722051213602,0.93925,-0.814661
a_chimp,frank,3,-0.5013940093553937,0.392495,-1.34284
a_chimp,frank,4,0.4802095461139668,1.37574,-0.239438
a_chimp,frank,5,0.4230467000235538,1.28783,-0.211877
a_chimp,frank,6,0.5338120321235482,1.42977,-0.21367
a_chimp,frank,7,0.5684230478323744,1.33048,-0.127985
a_chimp,frank,8,-0.30748168091659567,0.614435,-1.26
a_chimp,frank,9,-0.4206905216849126,0.246179,-1.21066
a_chimp,frank,10,-0.16194898264382318,0.610795,-0.959752
a_chimp,fraukje,1,-0.0033457642239436147,0.652295,-1.02606
a_chimp,fraukje,2,0.4477602741421438,1.29878,-0.469373
a_chimp,fraukje,3,0.7819885926685891,1.58075,-0.00852199
a_chimp,fraukje,4,0.32326290864981044,1.15218,-0.473407
a_chimp,fraukje,5,-0.035593894453028074,0.709922,-0.777429
a_chimp,fraukje,6,0.25091072727129315,1.11605,-0.574713
a_chimp,fraukje,7,0.6364006141440999,1.37755,-0.0813015
a_chimp,fraukje,8,0.5747755329860531,1.48879,-0.262853
a_chimp,fraukje,9,0.11624310524291137,0.84019,-0.558744
a_chimp,fraukje,10,0.020648505641031045,0.822699,-0.738121
a_chimp,frodo,1,-0.030996025831823815,0.564791,-1.54812
a_chimp,frodo,2,0.3376762129482507,1.25621,-0.770762
a_chimp,frodo,3,1.2326711772082646,2.08479,0.384832
a_chimp,frodo,4,-0.8280286584296079,0.11252,-1.9613
a_chimp,frodo,5,-0.8562418718231615,-0.044255,-1.95153
a_chimp,frodo,6,-0.8618175024005277,0.100499,-1.92675
a_chimp,frodo,7,-0.798966208644079,0.0759966,-1.74927
a_chimp,frodo,8,1.0562628684826612,1.99379,0.161907
a_chimp,frodo,9,1.193138732938149,1.90864,0.425754
a_chimp,frodo,10,0.6801403449960957,1.59161,-0.136322
a_chimp,kisha,1,-0.02482174802053283,0.573904,-1.1006
a_chimp,kisha,2,-0.00976540705379425,0.827678,-0.914741
a_chimp,kisha,3,0.4102828713965372,1.23397,-0.391753
a_chimp,kisha,4,0.34980484528933276,1.18212,-0.460055
a_chimp,kisha,5,0.24533214576742024,1.01176,-0.465018
a_chimp,kisha,6,0.404853213955497,1.268,-0.396439
a_chimp,kisha,7,0.6304574746976148,1.40541,-0.0400384
a_chimp,kisha,8,0.27506306658342483,1.16158,-0.612758
a_chimp,kisha,9,0.054940083684992036,0.758531,-0.651549
a_chimp,kisha,10,-0.0587770388086466,0.659757,-0.888017
a_chimp,maja,1,-0.017284296457195758,0.616778,-1.06695
a_chimp,maja,2,0.10277976065127148,1.06776,-0.692009
a_chimp,maja,3,0.16646402659541204,0.939529,-0.705626
a_chimp,maja,4,0.31232707009782823,1.1744,-0.439223
a_chimp,maja,5,0.46252479595633367,1.24362,-0.241402
a_chimp,maja,6,0.8412480179727759,1.63214,0.020553
a_chimp,maja,7,0.7588381626678382,1.52812,0.082433
a_chimp,maja,8,0.22837050433437733,1.13799,-0.669288
a_chimp,maja,9,0.013803102865911354,0.701891,-0.728373
a_chimp,maja,10,-0.2876137342386693,0.449179,-1.20243
a_chimp,makeni,1,-0.007132138330808946,0.766744,-0.906384
a_chimp,makeni,2,-0.11552006138145865,0.789812,-0.990582
a_chimp,makeni,3,0.013421661185194722,0.825934,-0.876645
a_chimp,makeni,4,0.6896025311801026,1.45691,-0.162416
a_chimp,makeni,5,0.4051594403449006,1.06644,-0.428819
a_chimp,makeni,6,0.9666297639346257,1.7496,0.128865
a_chimp,makeni,7,0.6251856240965592,1.29988,-0.153353
a_chimp,makeni,8,0.056581906924669134,0.971629,-0.885658
a_chimp,makeni,9,-0.1627700231134115,0.519862,-0.924686
a_chimp,makeni,10,-0.3181654736795232,0.403053,-1.24202
a_chimp,natascha,1,-0.49020542852402826,0.307008,-1.83098
a_chimp,natascha,2,-1.2397778020891561,-0.214731,-2.54015
a_chimp,natascha,3,-0.8227015098572807,0.13066,-1.8829
a_chimp,natascha,4,-0.3219897603932007,0.635871,-1.42391
a_chimp,natascha,5,0.20989994081442598,1.0926,-0.604851
a_chimp,natascha,6,0.507198307692895,1.36696,-0.432057
a_chimp,natascha,7,0.5877995745385736,1.39439,-0.23759
a_chimp,natascha,8,-1.2669658468490939,-0.166684,-2.49421
a_chimp,natascha,9,-0.9426021203073587,-0.174672,-1.95496
a_chimp,natascha,10,-0.6292715542985472,0.162414,-1.79808
a_chimp,ohini,1,-0.019953045359089483,0.723054,-1.24889
a_chimp,ohini,2,-0.21953001381476245,0.848435,-1.2307
a_chimp,ohini,3,-0.44934502143572974,0.486897,-1.47464
a_chimp,ohini,4,0.49450361557454925,1.39582,-0.409999
a_chimp,ohini,5,0.6550851399251638,1.52649,-0.100247
a_chimp,ohini,6,0.9026654268217267,1.7754,0.0269718
a_chimp,ohini,7,0.30450810663148586,1.01946,-0.597752
a_chimp,ohini,8,0.4550915797254669,1.43777,-0.534608
a_chimp,ohini,9,-0.1521610978543808,0.587658,-1.0187
a_chimp,ohini,10,-0.6489745957604232,0.154749,-1.8854
a_chimp,riet,1,-0.04953148221936843,0.415949,-1.53675
a_chimp,riet,2,0.08918143465370854,0.974854,-0.91585
a_chimp,riet,3,0.9293780008349382,1.73671,0.0387328
a_chimp,riet,4,-0.8127165024094141,0.0917308,-1.84861
a_chimp,riet,5,-0.6386878089373924,0.17554,-1.50383
a_chimp,riet,6,-1.0312233146309353,-0.118613,-2.09656
a_chimp,riet,7,-0.2946297295215401,0.555647,-1.05122
a_chimp,riet,8,0.5294706422484774,1.4104,-0.45253
a_chimp,riet,9,0.6874786773896904,1.46125,0.0187045
a_chimp,riet,10,0.20314431597424787,1.08243,-0.572157
a_chimp,sandra,1,-0.016861618898877495,0.596178,-1.27061
a_chimp,sandra,2,-0.5483276273088773,0.431033,-1.62115
a_chimp,sandra,3,-0.32081851244015214,0.566032,-1.24945
a_chimp,sandra,4,-0.900629913656358,0.0317704,-1.8904
a_chimp,sandra,5,-0.6088722561454434,0.204205,-1.46251
a_chimp,sandra,6,-1.0563898610053917,-0.0820478,-2.03313
a_chimp,sandra,7,-0.9272255035126098,-0.140954,-1.88821
a_chimp,sandra,8,-0.4454124642318096,0.531152,-1.50465
a_chimp,sandra,9,0.21515489145613187,0.983864,-0.479036
a_chimp,sandra,10,0.2546566118157698,1.13992,-0.527931
a_chimp,swela,1,-0.06502654337009828,0.377079,-1.54768
a_chimp,swela,2,-0.5472234924450272,0.352735,-1.66704
a_chimp,swela,3,0.4173802038295076,1.23811,-0.486722
a_chimp,swela,4,-0.46341112672391294,0.378154,-1.51712
a_chimp,swela,5,0.1497128730090469,0.990035,-0.613421
a_chimp,swela,6,0.540877981039904,1.39705,-0.360586
a_chimp,swela,7,-0.19211221262651712,0.544181,-1.08805
a_chimp,swela,8,0.020302677650278156,0.95704,-1.02562
a_chimp,swela,9,0.31615366061264694,1.02478,-0.456334
a_chimp,swela,10,0.07598274456100063,1.03657,-0.636371
a_chimp,tai,1,-0.042089564936428125,0.557302,-1.31785
a_chimp,tai,2,-0.6697393301808399,0.263382,-1.82335
a_chimp,tai,3,-0.34260271978567625,0.57784,-1.32529
a_chimp,tai,4,0.02068465494263383,0.914518,-0.91851
a_chimp,tai,5,0.3349086677962074,1.16199,-0.455392
a_chimp,tai,6,0.5589452097614207,1.43499,-0.314906
a_chimp,tai,7,0.8790526184031098,1.70279,0.128157
a_chimp,tai,8,0.3860021477524944,1.31952,-0.62596
a_chimp,tai,9,0.15240881766250247,0.980912,-0.568697
a_chimp,tai,10,-0.41248623316373934,0.40183,-1.43308
a_chimp,youma,1,-0.029261691801514278,0.590638,-1.12419
a_chimp,youma,2,-0.5728469003113519,0.357306,-1.52217
a_chimp,youma,3,0.10712005210082998,0.926616,-0.797928
a_chimp,youma,4,0.29507667173172036,1.1395,-0.544467
a_chimp,youma,5,0.23102436029982987,1.05502,-0.439292
a_chimp,youma,6,0.6141208974235894,1.47777,-0.198161
a_chimp,youma,7,0.7127366395332644,1.45432,-0.0200962
a_chimp,youma,8,-0.2865909381077887,0.664972,-1.29046
a_chimp,youma,9,-0.42307696415105744,0.274811,-1.21575
a_chimp,youma,10,-0.22927719639216493,0.481038,-1.16461
b_chimp,alex,1,-0.01321247861881103,0.965413,-1.20596
b_chimp,alex,2,-0.5579763894612899,0.626498,-1.89651
b_chimp,alex,3,0.9568438017913796,2.05243,-0.238959
b_chimp,alex,4,-0.28688491303014496,0.73946,-1.60234
b_chimp,alex,5,0.019999777219249282,0.89872,-1.05006
b_chimp,alex,6,0.5203215815851445,1.71547,-0.609758
b_chimp,alex,7,0.5351492704562739,1.59288,-0.527979
b_chimp,alex,8,0.6112149239169136,1.7233,-0.754983
b_chimp,alex,9,0.3597472095500138,1.33767,-0.62291
b_chimp,alex,10,-0.11061250554289215,0.717654,-1.34382
b_chimp,daza,1,-0.04020997036780338,0.631856,-1.83504
b_chimp,daza,2,-0.7489766528066668,0.468085,-2.28724
b_chimp,daza,3,-1.2479413973350417,0.105929,-2.68055
b_chimp,daza,4,-0.4844305150555739,0.772182,-1.88929
b_chimp,daza,5,-0.038794680620160005,0.981403,-1.18443
b_chimp,daza,6,0.230415953201069,1.5366,-1.01503
b_chimp,daza,7,-0.16644332056411137,1.10029,-1.26439
b_chimp,daza,8,-0.9354915523779432,0.451199,-2.47277
b_chimp,daza,9,-0.30822398916272986,0.750618,-1.38007
b_chimp,daza,10,0.1897888885292911,1.48074,-0.746469
b_chimp,frederike,1,-0.02540505805789195,0.781231,-1.4125
b_chimp,frederike,2,0.07610371756987311,1.29694,-1.09191
b_chimp,frederike,3,0.1462989094161795,1.31723,-1.01638
b_chimp,frederike,4,-0.31986847718686917,0.835991,-1.48042
b_chimp,frederike,5,0.027542060297462534,1.02445,-0.910335
b_chimp,frederike,6,-0.00863289913129206,1.24611,-1.12128
b_chimp,frederike,7,-0.2571775448683482,0.815265,-1.36219
b_chimp,frederike,8,0.2975630079699956,1.54199,-0.966443
b_chimp,frederike,9,0.13522274728280026,1.18889,-0.759459
b_chimp,frederike,10,0.4024486867777497,1.59922,-0.443205
b_chimp,hope,1,-0.05903702127683985,0.521336,-1.78282
b_chimp,hope,2,-0.4617588821078349,0.727167,-1.81101
b_chimp,hope,3,0.051982837530360815,1.30711,-1.10351
b_chimp,hope,4,-0.04537787785090375,1.09101,-1.27444
b_chimp,hope,5,0.5532397328303424,1.73554,-0.344828
b_chimp,hope,6,0.5383436696182535,1.7071,-0.702315
b_chimp,hope,7,0.7355601008378088,2.00524,-0.215426
b_chimp,hope,8,0.007517787378971796,1.36697,-1.2515
b_chimp,hope,9,0.15554383450822762,1.15348,-0.9108
b_chimp,hope,10,-0.7305278438445963,0.250054,-2.06743
b_chimp,jeudi,1,0.007700627274696448,1.24581,-0.740221
b_chimp,jeudi,2,0.32440299604409395,1.60558,-0.655003
b_chimp,jeudi,3,-0.1787179253714397,0.869045,-1.41753
b_chimp,jeudi,4,0.7554749147526763,1.96726,-0.234719
b_chimp,jeudi,5,0.37651849121636527,1.35926,-0.46065
b_chimp,jeudi,6,0.5570556416235906,1.79766,-0.433004
b_chimp,jeudi,7,0.39102787022398067,1.35732,-0.657716
b_chimp,jeudi,8,0.3768509707336869,1.6689,-0.668807
b_chimp,jeudi,9,-0.03886537216164565,0.910778,-0.93474
b_chimp,jeudi,10,-0.03866757747513061,0.906209,-0.996571
b_chimp,zira,1,-0.011790569606772827,0.773748,-1.24614
b_chimp,zira,2,-0.11739397321695533,1.03014,-1.29295
b_chimp,zira,3,0.06914550047924495,1.21061,-1.0699
b_chimp,zira,4,-0.01292752500625971,1.09076,-1.10495
b_chimp,zira,5,-0.032492069215035446,0.949391,-0.943908
b_chimp,zira,6,-0.18271520824023124,0.943963,-1.42749
b_chimp,zira,7,0.0987006787403426,1.18095,-0.897598
b_chimp,zira,8,-0.11136541155355095,1.09963,-1.38851
b_chimp,zira,9,-0.07836995870726637,0.904734,-1.01112
b_chimp,zira,10,-0.13645067422834378,0.683588,-1.26566
bonobo,amira,1,0.041157442232147234,1.41658,-0.511377
bonobo,amira,2,0.9513614254737439,1.95008,0.061214
bonobo,amira,3,1.1186149474782994,2.01848,0.256366
bonobo,amira,4,-0.10253618623315752,1.27266,-1.21271
bonobo,amira,5,-0.10168399511822002,0.684398,-0.971437
bonobo,amira,6,-0.33928176324818393,0.719242,-1.32557
bonobo,amira,7,-0.46291228968123876,0.33311,-1.37295
bonobo,amira,8,1.3575872662291115,2.17387,0.448766
bonobo,amira,9,1.215671122659082,2.03438,0.448533
bonobo,amira,10,0.20148574431894928,1.05565,-0.654592
bonobo,gerda,1,0.015571078711360986,1.10378,-0.725088
bonobo,gerda,2,0.5769527816229947,1.61064,-0.270868
bonobo,gerda,3,0.9688698702975379,1.83909,0.109028
bonobo,gerda,4,0.35583254874135584,1.59685,-0.698206
bonobo,gerda,5,0.016282350164452453,0.762987,-0.83152
bonobo,gerda,6,0.5060951204008541,1.4658,-0.470799
bonobo,gerda,7,0.4965160251593521,1.35556,-0.241141
bonobo,gerda,8,1.140031652458866,2.02051,0.292883
bonobo,gerda,9,0.5122054579589834,1.28889,-0.245714
bonobo,gerda,10,0.051509725877258994,0.867062,-0.793298
bonobo,hodari,1,-0.002106029655550401,0.961343,-0.918179
bonobo,hodari,2,0.5146395333345812,1.50537,-0.339899
bonobo,hodari,3,0.7055503049203571,1.56498,-0.163206
bonobo,hodari,4,0.29459053387470435,1.55696,-0.787056
bonobo,hodari,5,0.5020870260688675,1.37773,-0.267446
bonobo,hodari,6,1.0504413316095311,2.08037,0.129961
bonobo,hodari,7,-0.04458976868132547,0.776072,-0.845515
bonobo,hodari,8,0.5926943155060913,1.4579,-0.311254
bonobo,hodari,9,0.6626257211738757,1.42122,-0.153982
bonobo,hodari,10,0.045927018275629505,0.911992,-0.782604
bonobo,jasongo,1,-0.024847803664433954,0.84485,-1.82704
bonobo,jasongo,2,0.023421552651456068,1.20446,-1.27588
bonobo,jasongo,3,-1.5718823694042041,-0.288877,-3.16389
